GRIDCODE	lat	lat.t	long	SST	Prod	Dist_Coast	N	niche.mean	niche.med	niche.sd	niche.min	niche.max	niche.range	bio
178	30	120	160	21	-0.11	1884	11	0.18	0.16	0.08	0.06	0.35	0.29	0.28
179	30	120	168	21.3	-0.13	2619	18	0.16	0.16	0.1	0.03	0.35	0.32	0.27
180	30	120	176	21.3	0.02	3407	39	0.17	0.16	0.1	0.03	0.35	0.32	0.27
181	21	111	-176	25.9	-0.08	2117	19	0.14	0.1	0.09	0.03	0.35	0.32	0.3
182	21	111	-168	25.5	-0.1	1326	130	0.15	0.13	0.08	0.03	0.35	0.32	0.33
183	21	111	-160	25.4	-0.05	458	512	0.13	0.1	0.08	0.03	0.48	0.45	0.4
184	21	111	-152	24.1	-0.12	351.53	205	0.14	0.13	0.09	0.03	0.39	0.35	0.37
185	21	111	-144	23.2	-0.09	1143	15	0.17	0.16	0.1	0.03	0.35	0.32	0.3
186	21	111	-136	22.5	-0.07	1967	14	0.17	0.16	0.08	0.06	0.35	0.29	0.29
187	21	111	-128	21.4	-0.13	1514	14	0.18	0.18	0.1	0.03	0.35	0.32	0.29
188	21	111	-120	20.6	-0.11	895	45	0.13	0.1	0.09	0.03	0.35	0.32	0.31
189	21	111	-112	21.5	0.02	278	447	0.13	0.13	0.09	0.03	0.48	0.45	0.41
190	21	111	-104	23.9	-0.06	0	349	0.13	0.13	0.08	0.03	0.42	0.39	0.34
191	21	111	-96	25.9	0.05	136	446	0.18	0.16	0.12	0.03	0.84	0.81	0.42
192	21	111	-88	27.1	-0.05	0	622	0.17	0.16	0.12	0.03	0.84	0.81	0.46
193	21	111	-80	26.8	0	51	774	0.16	0.13	0.11	0.03	0.84	0.81	0.52
194	21	111	-72	26.6	-0.14	151	456	0.16	0.13	0.11	0.03	0.84	0.81	0.48
195	21	111	-64	26.4	-0.13	373	579	0.16	0.13	0.1	0.03	0.84	0.81	0.42
196	21	111	-56	25.9	-0.06	1071	130	0.14	0.1	0.1	0.03	0.58	0.55	0.32
197	21	111	-48	25.3	-0.09	1812	106	0.13	0.1	0.09	0.03	0.39	0.35	0.26
198	21	111	-40	24.9	-0.13	2404	88	0.13	0.1	0.09	0.03	0.35	0.32	0.29
199	21	111	-32	23.9	-0.14	1539	136	0.14	0.11	0.09	0.03	0.45	0.42	0.33
200	21	111	-24	22.6	-0.15	726	229	0.12	0.1	0.08	0.03	0.35	0.32	0.42
201	21	111	-16	18.9	0.08	0	389	0.16	0.13	0.1	0.03	0.55	0.52	0.47
207	21	111	32	27.5	0.07	0	92	0.12	0.1	0.09	0.03	0.39	0.35	0.26
208	21	111	40	27.5	0.07	0	381	0.13	0.13	0.09	0.03	0.58	0.55	0.3
209	21	111	48	27	-0.24	0	10	0.13	0.15	0.09	0.03	0.29	0.26	0.25
210	21	111	56	27.2	-0.06	0	203	0.13	0.13	0.08	0.03	0.35	0.32	0.38
211	21	111	64	26.5	-0.2	432	202	0.14	0.13	0.08	0.03	0.39	0.35	0.36
212	21	111	72	26.3	-0.03	0	208	0.14	0.13	0.08	0.03	0.45	0.42	0.39
213	21	111	80	27	-0.05	0	157	0.15	0.13	0.09	0.03	0.55	0.52	0.33
214	21	111	88	27.4	-0.11	46	322	0.15	0.13	0.09	0.03	0.42	0.39	0.43
215	21	111	96	27.1	-0.02	0	274	0.16	0.13	0.1	0.03	0.61	0.58	0.37
216	21	111	104	22.8	0	0	77	0.13	0.13	0.08	0.03	0.39	0.35	0.35
217	21	111	112	25.5	-0.14	46	419	0.13	0.13	0.08	0.03	0.39	0.35	0.59
218	21	111	120	26.7	-0.02	105	1315	0.12	0.1	0.08	0.03	0.45	0.42	0.77
219	21	111	128	26.4	-0.07	711	288	0.13	0.13	0.08	0.03	0.39	0.35	0.59
220	21	111	136	26.8	-0.06	1246	16	0.16	0.15	0.08	0.06	0.35	0.29	0.32
221	21	111	144	26.6	-0.08	1550	78	0.15	0.13	0.09	0.03	0.39	0.35	0.36
222	21	111	152	26	-0.07	1957	14	0.18	0.18	0.09	0.03	0.35	0.32	0.3
223	21	111	160	26.4	-0.07	2623	12	0.19	0.18	0.09	0.1	0.35	0.26	0.28
224	21	111	168	26.3	-0.06	3075	30	0.17	0.16	0.08	0.03	0.35	0.32	0.29
225	21	111	176	26	-0.11	2950	19	0.15	0.1	0.09	0.06	0.35	0.29	0.27
226	13	103	-176	27.3	0.06	2279	25	0.15	0.13	0.08	0.03	0.35	0.32	0.29
227	13	103	-168	26.9	-0.1	1469	80	0.14	0.13	0.08	0.03	0.35	0.32	0.34
228	13	103	-160	26.8	-0.05	818	44	0.13	0.1	0.07	0.03	0.35	0.32	0.33
229	13	103	-152	26.2	-0.1	798	54	0.13	0.13	0.09	0.03	0.35	0.32	0.31
230	13	103	-144	26.2	-0.2	1415	36	0.16	0.16	0.08	0.03	0.35	0.32	0.29
231	13	103	-136	26.4	-0.23	2187	53	0.16	0.13	0.1	0.03	0.45	0.42	0.26
232	13	103	-128	26.3	-0.13	2495	19	0.15	0.16	0.08	0.03	0.35	0.32	0.26
233	13	103	-120	26.8	-0.09	1861	28	0.15	0.13	0.1	0.03	0.39	0.35	0.26
234	13	103	-112	27.6	-0.09	1106	70	0.14	0.13	0.08	0.03	0.35	0.32	0.26
235	13	103	-104	28.3	-0.16	589	60	0.13	0.1	0.09	0.03	0.35	0.32	0.32
236	13	103	-96	28.1	-0.14	313	242	0.14	0.13	0.09	0.03	0.42	0.39	0.34
237	13	103	-88	27.4	-0.16	34	593	0.15	0.13	0.1	0.03	0.84	0.81	0.48
238	13	103	-80	27.6	-0.04	355	683	0.15	0.13	0.1	0.03	0.84	0.81	0.49
239	13	103	-72	26.9	-0.04	55	584	0.16	0.13	0.11	0.03	0.84	0.81	0.45
240	13	103	-64	26.9	0.2	240	586	0.16	0.13	0.11	0.03	0.84	0.81	0.47
241	13	103	-56	27.5	-0.02	650	428	0.16	0.13	0.1	0.03	0.58	0.55	0.43
242	13	103	-48	26.7	-0.15	1029	156	0.14	0.13	0.09	0.03	0.39	0.35	0.3
243	13	103	-40	26	-0.1	1500	146	0.13	0.1	0.08	0.03	0.45	0.42	0.3
244	13	103	-32	25.9	-0.14	1635	109	0.13	0.1	0.09	0.03	0.45	0.42	0.32
245	13	103	-24	26.5	-0.13	784	345	0.14	0.13	0.1	0.03	0.71	0.68	0.41
246	13	103	-16	23.9	-0.07	0	451	0.16	0.13	0.1	0.03	0.58	0.55	0.48
253	13	103	40	28.1	-0.14	0	273	0.12	0.1	0.08	0.03	0.39	0.35	0.35
254	13	103	48	27.7	-0.12	115	268	0.13	0.13	0.09	0.03	0.39	0.35	0.43
255	13	103	56	27	-0.09	470	218	0.12	0.1	0.08	0.03	0.39	0.35	0.42
256	13	103	64	27.8	-0.04	950	125	0.15	0.13	0.09	0.03	0.42	0.39	0.28
257	13	103	72	28.5	-0.14	299	301	0.14	0.13	0.08	0.03	0.35	0.32	0.5
258	13	103	80	28.6	-0.12	0	368	0.13	0.13	0.08	0.03	0.58	0.55	0.53
259	13	103	88	28.7	-0.07	749	125	0.14	0.13	0.09	0.03	0.39	0.35	0.44
260	13	103	96	28.3	0.08	280	527	0.12	0.1	0.08	0.03	0.84	0.81	0.53
261	13	103	104	28.8	0.15	0	371	0.12	0.1	0.08	0.03	0.39	0.35	0.49
262	13	103	112	27.9	-0.02	278	573	0.12	0.1	0.08	0.03	0.39	0.35	0.57
263	13	103	120	28.1	0.05	55	1139	0.11	0.1	0.08	0.03	0.84	0.81	0.69
264	13	103	128	28.6	-0.06	296	367	0.11	0.1	0.08	0.03	0.35	0.32	0.61
265	13	103	136	28.6	-0.06	1142	293	0.13	0.13	0.08	0.03	0.39	0.35	0.41
266	13	103	144	28.6	-0.02	1785	342	0.13	0.13	0.08	0.03	0.39	0.35	0.43
267	13	103	152	28.5	-0.1	2061	24	0.18	0.16	0.09	0.03	0.35	0.32	0.39
268	13	103	160	27.9	-0.04	2541	226	0.13	0.13	0.08	0.03	0.39	0.35	0.39
269	13	103	168	28	-0.04	3054	120	0.13	0.13	0.07	0.03	0.35	0.32	0.37
270	13	103	176	27.4	-0.07	3085	39	0.17	0.16	0.09	0.03	0.35	0.32	0.29
271	5	95	-176	28.3	0.04	2771	20	0.17	0.15	0.08	0.06	0.35	0.29	0.26
272	5	95	-168	28.3	0	2138	12	0.18	0.19	0.09	0.06	0.35	0.29	0.27
273	5	95	-160	27.7	-0.12	1645	202	0.14	0.13	0.08	0.03	0.39	0.35	0.29
274	5	95	-152	27.7	0.16	1693	68	0.12	0.1	0.08	0.03	0.39	0.35	0.26
275	5	95	-144	27.6	0.1	1986	62	0.14	0.13	0.08	0.03	0.35	0.32	0.27
276	5	95	-136	27.5	-0.01	2647	28	0.14	0.13	0.08	0.03	0.35	0.32	0.26
277	5	95	-128	27.4	-0.16	2939	9	0.19	0.19	0.09	0.06	0.35	0.29	0.27
278	5	95	-120	27.3	0.16	2364	32	0.16	0.16	0.09	0.03	0.35	0.32	0.27
279	5	95	-112	27.5	0.01	1807	15	0.16	0.13	0.09	0.03	0.35	0.32	0.27
280	5	95	-104	27.3	-0.08	1390	17	0.16	0.16	0.11	0.03	0.35	0.32	0.25
281	5	95	-96	27.8	-0.01	1210	62	0.13	0.1	0.08	0.03	0.39	0.35	0.33
282	5	95	-88	27.4	-0.11	636	198	0.13	0.1	0.09	0.03	0.39	0.35	0.38
283	5	95	-80	27.7	0.04	279	457	0.13	0.13	0.09	0.03	0.55	0.52	0.46
285	5	95	-64	27.6	0.39	0	3	0.16	0.16	0.06	0.1	0.23	0.13	0.26
286	5	95	-56	27.7	-0.15	0	323	0.18	0.16	0.12	0.03	0.84	0.81	0.39
287	5	95	-48	27.6	-0.12	360	251	0.16	0.13	0.11	0.03	0.58	0.55	0.35
288	5	95	-40	27.3	-0.15	853	132	0.14	0.13	0.1	0.03	0.58	0.55	0.31
289	5	95	-32	27.1	-0.07	1177	161	0.13	0.1	0.08	0.03	0.35	0.32	0.31
290	5	95	-24	27.2	-0.09	1144	190	0.13	0.1	0.09	0.03	0.77	0.74	0.34
291	5	95	-16	27.2	-0.13	488	350	0.15	0.13	0.09	0.03	0.55	0.52	0.41
292	5	95	-8	27.5	-0.05	0	327	0.17	0.13	0.11	0.03	0.84	0.81	0.39
293	5	95	0	26.4	-0.11	93	345	0.15	0.13	0.09	0.03	0.55	0.52	0.4
294	5	95	8	26.4	-0.06	0	364	0.15	0.13	0.1	0.03	0.71	0.68	0.37
298	5	95	40	26.5	-0.13	0	8	0.23	0.23	0.06	0.16	0.35	0.19	0.26
299	5	95	48	26.5	-0.09	0	110	0.14	0.13	0.08	0.03	0.35	0.32	0.42
300	5	95	56	27.9	-0.07	761	102	0.17	0.16	0.1	0.03	0.52	0.48	0.34
301	5	95	64	28.6	-0.09	1442	89	0.13	0.13	0.08	0.03	0.35	0.32	0.27
302	5	95	72	28.7	-0.05	683	389	0.12	0.1	0.08	0.03	0.39	0.35	0.51
303	5	95	80	28.4	-0.03	145	384	0.12	0.1	0.08	0.03	0.39	0.35	0.54
304	5	95	88	28.5	-0.08	720	22	0.19	0.16	0.08	0.1	0.35	0.26	0.36
305	5	95	96	28.8	0.04	0	477	0.12	0.1	0.08	0.03	0.84	0.81	0.57
306	5	95	104	28.6	0.02	61	344	0.12	0.13	0.08	0.03	0.39	0.35	0.54
307	5	95	112	28.4	0.11	193	123	0.12	0.13	0.08	0.03	0.35	0.32	0.59
308	5	95	120	28.8	-0.06	40	575	0.12	0.1	0.08	0.03	0.39	0.35	0.62
309	5	95	128	28.8	0.04	129	703	0.11	0.1	0.08	0.03	0.39	0.35	0.58
310	5	95	136	28.9	-0.07	323	698	0.12	0.1	0.08	0.03	0.39	0.35	0.49
311	5	95	144	29	-0.1	877	374	0.13	0.13	0.08	0.03	0.39	0.35	0.43
312	5	95	152	28.9	-0.11	827	319	0.13	0.13	0.08	0.03	0.39	0.35	0.44
313	5	95	160	28.6	-0.04	1257	288	0.12	0.13	0.08	0.03	0.39	0.35	0.39
314	5	95	168	28.6	-0.09	1842	105	0.15	0.13	0.09	0.03	0.39	0.35	0.38
315	5	95	176	28.4	-0.07	2532	208	0.13	0.13	0.08	0.03	0.39	0.35	0.36
316	-3	87	-176	28.8	-0.06	2613	143	0.13	0.13	0.08	0.03	0.39	0.35	0.32
317	-3	87	-168	28.1	-0.04	1973	192	0.14	0.13	0.08	0.03	0.39	0.35	0.32
318	-3	87	-160	27.8	-0.09	1820	73	0.15	0.13	0.08	0.03	0.35	0.32	0.3
319	-3	87	-152	27.8	-0.1	2442	98	0.12	0.13	0.08	0.03	0.35	0.32	0.3
320	-3	87	-144	26.8	0.03	1690	74	0.13	0.13	0.08	0.03	0.35	0.32	0.26
321	-3	87	-136	26.4	0.03	2183	82	0.14	0.13	0.09	0.03	0.39	0.35	0.28
322	-3	87	-128	25.5	0.04	2812	11	0.22	0.23	0.08	0.1	0.35	0.26	0.29
323	-3	87	-120	25.1	0.37	2938	32	0.16	0.16	0.09	0.03	0.35	0.32	0.29
324	-3	87	-112	24.8	0.16	2583	14	0.17	0.18	0.08	0.06	0.35	0.29	0.27
325	-3	87	-104	23.8	0.16	2523	9	0.2	0.19	0.08	0.1	0.35	0.26	0.26
326	-3	87	-96	23.3	0.12	560	52	0.23	0.18	0.19	0.03	0.84	0.81	0.31
327	-3	87	-88	23.5	0.11	422	263	0.13	0.1	0.09	0.03	0.52	0.48	0.33
328	-3	87	-80	22.8	0.23	0	243	0.13	0.13	0.08	0.03	0.39	0.35	0.32
332	-3	87	-48	28.1	-0.16	0	158	0.2	0.16	0.13	0.03	0.84	0.81	0.31
333	-3	87	-40	27.3	-0.09	0	167	0.19	0.16	0.13	0.03	0.84	0.81	0.35
334	-3	87	-32	27.3	-0.02	439	236	0.16	0.13	0.11	0.03	0.84	0.81	0.37
